nodeid,OutAmount,OutValue,OutTransFee,InAmount,InValue,InTransFee,nodelabel
124,30.0,0.0,235.15,40.0,6742.59,481.243,0.0
125,14.0,2030.5,223.81,23.0,1935.791,268.079,0.0
126,112.0,37187.1,212.505,433.0,185455.0,9938.159,0.0
127,14.0,2965.401,190.947,25.0,4349.16,406.011,0.0
128,36.0,2032.99,479.5,76.0,2590.51,809.813,0.0
129,120.0,0.0,8.437,184.0,0.0,14.797,0.0
130,253.0,913.43,305.802,267.0,4551.865,1391.525,0.0
131,71.0,14228.655,846.967,522.0,21518.6,1560.337,0.0
132,34.0,7754.57,400.195,45.0,10033.705,440.403,0.0
133,213.0,816.98,3116.872,31.0,6805.5,185.375,0.0
134,16.0,8370.83,166.142,18.0,6476.265,174.8,0.0
135,199.0,0.0,16.14,1.0,0.0,4.5,0.0
136,201.0,0.0,10.18,1.0,0.0,2.89,0.0
137,89.0,1688.22,413.668,35.0,421.405,210.433,0.0
138,8.0,19562.59,121.025,39.0,14926.674,468.082,0.0
139,33.0,2578.68,378.809,35.0,1341.175,469.849,0.0
140,11.0,7978.06,40.056,94.0,0.0,469.481,0.0
141,22.0,4037.45,182.035,97.0,8565.065,755.546,0.0
142,37.0,326.33,339.81,74.0,16707.385,510.432,0.0
143,20.0,0.0,134.92,80.0,7422.878,908.724,0.0
144,41.0,5767.22,874.26,54.0,18193.09,603.484,0.0
145,26.0,13619.34,202.758,53.0,14920.905,482.37,0.0
146,22.0,17507.12,235.03,19.0,29148.25,334.357,0.0
147,319.0,698.28,3186.49,151.0,4310.5,1453.01,0.0
148,20.0,4116.811,221.4,25.0,5088.58,252.489,0.0
149,51.0,9284.545,1089.515,32.0,2895.25,299.73,0.0
150,250.0,0.0,13.53,2.0,0.0,5.12,0.0
151,44.0,195.06,431.5,87.0,3377.558,438.061,0.0
152,19.0,35218.462,241.267,30.0,14524.95,172.513,0.0
153,312.0,4171.09,1295.04,0.0,0.0,0.0,0.0
154,5.0,0.0,48.63,44.0,3744.975,721.775,0.0
155,57.0,24852.315,1446.673,40.0,15789.87,380.085,0.0
156,201.0,0.0,16.56,1.0,0.0,4.26,0.0
157,53.0,26618.97,462.97,73.0,8841.282,762.037,0.0
158,29.0,25420.63,738.255,28.0,11808.28,451.233,0.0
159,262.0,0.0,16.91,1.0,0.0,3.31,0.0
160,100.0,10183.3,322.55,14.0,0.0,7.55,0.0
161,50.0,4042.04,371.015,92.0,6799.73,934.356,0.0
162,23.0,2192.854,168.495,42.0,1450.599,234.353,0.0
163,34.0,56718.96,677.124,32.0,13141.11,425.093,0.0
164,1399.0,15862.948,821.21,1634.0,24501.173,945.273,0.0
165,199.0,0.0,21.39,1.0,0.0,4.76,0.0
166,25.0,24488.82,413.16,24.0,12195.88,247.539,0.0
167,128.0,754.49,242.91,131.0,7776.06,1198.881,0.0
168,25.0,742.837,15.645,82.0,14645.673,218.03,0.0
169,28.0,10187.478,633.688,31.0,5357.21,557.991,0.0
170,201.0,0.0,12.41,1.0,0.0,2.57,0.0
171,108.0,5840.04,2225.86,65.0,887.65,850.95,0.0
172,80.0,3320.826,962.968,163.0,143130.894,1352.471,0.0
173,46.0,0.0,177.434,140.0,31916.82,871.369,0.0
174,59.0,0.0,194.96,63.0,7278.63,1953.593,0.0
175,14.0,9195.16,224.334,100.0,14020.385,515.815,0.0
176,23.0,6276.258,384.265,93.0,6768.809,1141.943,0.0
177,393.0,1049.92,1156.42,136.0,0.0,259.1,0.0
178,10.0,22242.71,168.66,34.0,71822.67,564.227,0.0
179,5.0,3352.34,28.9,34.0,12605.999,348.04,0.0
180,21.0,3128.598,311.05,34.0,5134.85,390.889,0.0
181,10.0,0.0,119.28,49.0,174.93,396.097,0.0
182,75.0,45401.56,1542.59,82.0,41875.409,1055.113,0.0
183,143.0,39534.422,1126.205,167.0,32284.402,1642.016,0.0
184,22.0,5569.324,406.905,1629.0,6141.38,290.742,0.0
185,157.0,2790.79,537.08,74.0,0.0,441.7,0.0
186,45.0,892.8,118.52,83.0,83.68,67.791,0.0
187,25.0,5933.485,412.7,19.0,5027.85,143.892,0.0
188,60.0,13213.26,625.57,1098.0,4032.458,1014.989,0.0
189,64.0,29489.635,968.805,81.0,111187.388,1087.733,0.0
190,233.0,19577.145,190.86,259.0,25347.19,335.81,0.0
191,129.0,11976.97,553.227,191.0,29886.365,1646.229,0.0
192,52.0,1874.242,251.036,37.0,3064.48,234.841,0.0
193,130.0,13991.92,797.22,156.0,5592.57,1287.39,0.0
194,57.0,1544.095,367.475,53.0,26.51,173.767,0.0
195,36.0,36177.505,297.09,37.0,8811.915,323.66,0.0
196,27.0,17071.59,395.52,65.0,54796.93,552.952,0.0
197,204.0,25468.47,2738.1,19.0,0.0,47.36,0.0
198,178.0,54751.88,1712.006,498.0,40770.426,1565.261,0.0
199,15.0,4138.61,147.95,16.0,3677.565,418.902,0.0
200,40.0,9216.27,674.485,51.0,4061.118,569.713,0.0
201,35.0,26883.6,491.565,30.0,3032.141,136.833,0.0
202,41.0,2944.065,273.921,97.0,10802.985,625.692,0.0
203,52.0,12661.22,429.918,130.0,6973.061,2060.071,0.0
204,10.0,0.0,53.515,38.0,10615.73,253.433,0.0
205,30.0,29966.35,445.615,46.0,45538.49,453.575,0.0
206,94.0,11368.71,1089.463,172.0,9198.019,1108.016,0.0
207,19.0,438.915,95.995,39.0,10857.275,152.676,0.0
208,23.0,20648.57,428.398,43.0,31036.3,298.969,0.0
209,24.0,6757.63,315.193,63.0,13245.595,473.934,0.0
210,25.0,19465.453,247.808,188.0,12474.817,358.532,0.0
211,18.0,3609.785,327.16,35.0,2641.695,444.215,0.0
212,60.0,32228.695,1565.175,163.0,30644.13,640.952,0.0
213,94.0,0.0,947.505,94.0,0.0,947.505,0.0
214,201.0,0.0,21.2,1.0,0.0,3.84,0.0
215,14.0,1450.07,76.545,34.0,4413.765,187.122,0.0
216,24.0,0.0,1.937,119.0,0.0,8.638,0.0
217,25.0,417.94,261.905,61.0,19023.5,345.303,0.0
218,138.0,9021.55,498.485,120.0,35871.875,1079.6,0.0
219,11.0,11421.607,192.427,24.0,15832.9,474.861,0.0
220,14.0,17587.81,222.6,38.0,2223.383,597.473,0.0
221,41.0,4720.585,306.597,108.0,5491.225,783.265,0.0
222,22.0,19586.022,263.145,53.0,5832.24,547.356,0.0
223,65.0,7505.56,1000.587,69.0,17814.712,658.802,0.0
224,134.0,10226.185,351.11,56.0,17567.735,427.072,0.0
225,24.0,9341.61,485.87,83.0,6417.24,843.678,0.0
226,286.0,46201.425,1872.265,112.0,7051.747,815.219,0.0
227,2002.0,0.0,137.89,1.0,0.0,2.78,0.0
228,26.0,0.0,35.5,557.0,1498.801,3363.578,0.0
229,260.0,0.0,16.95,1.0,0.0,3.28,0.0
230,9.0,1207.66,93.452,172.0,10704.03,2175.903,0.0
231,229.0,0.0,12.68,1.0,0.0,3.45,0.0
232,52.0,384.18,345.93,29.0,4121.21,549.44,0.0
233,64.0,21153.28,1040.709,99.0,11998.355,1898.859,0.0
234,24.0,6193.67,332.245,67.0,9144.411,241.349,0.0
235,211.0,0.0,22.03,1.0,0.0,5.32,0.0
236,36.0,0.0,380.85,40.0,12401.82,355.29,0.0
237,24.0,1329.72,144.305,103.0,11790.823,812.865,0.0
238,31.0,3691.048,190.218,37.0,1601.87,100.24,0.0
239,13.0,1670.42,229.65,52.0,2137.92,544.21,0.0
240,209.0,1389.69,1134.73,120.0,0.0,421.92,0.0
241,56.0,13891.351,882.662,156.0,7284.25,2449.999,0.0
242,677.0,210991.295,6503.175,72.0,25847.395,362.98,0.0
243,54.0,13664.51,351.74,181.0,29161.479,546.006,0.0
244,48.0,9532.947,535.737,25.0,6435.02,375.413,0.0
245,54.0,3424.609,415.665,116.0,12223.515,1449.927,0.0
246,13.0,16655.55,174.315,14.0,13396.45,240.828,0.0
247,36.0,13356.155,268.911,82.0,10343.244,731.219,0.0
248,20.0,271.88,93.09,64.0,4058.84,427.77,0.0
249,16.0,2150.2,241.262,36.0,1625.52,369.441,0.0
250,145.0,7525.54,596.24,1167.0,17136.609,9604.275,0.0
251,23.0,1991.51,241.405,29.0,6806.07,350.482,0.0
252,22.0,0.0,151.715,55.0,19990.89,576.252,0.0
253,97.0,7184.36,558.945,85.0,1422.275,310.093,0.0
254,15.0,6567.94,187.28,23.0,9821.09,295.879,0.0
255,24.0,11288.39,354.35,28.0,6911.09,357.696,0.0
256,229.0,0.0,19.49,1.0,0.0,4.75,0.0
257,210.0,0.0,25.08,1.0,0.0,4.9,0.0
258,30.0,22158.45,608.03,39.0,2952.844,250.675,0.0
259,258.0,99137.393,3236.465,180.0,74237.603,2891.131,0.0
260,126.0,360233.39,1610.565,23.0,0.0,54.574,0.0
261,17.0,3056.575,209.225,35.0,7703.38,333.796,0.0
262,201.0,0.0,16.13,1.0,0.0,5.85,0.0
263,27.0,35562.05,510.89,47.0,17735.2,291.753,0.0
264,42.0,8117.85,684.545,76.0,3482.278,1088.886,0.0
265,28.0,5396.36,290.01,27.0,6763.18,341.826,0.0
266,91.0,12270.083,1499.215,93.0,39086.31,1363.756,0.0
267,237.0,324.61,190.738,21.0,0.0,47.59,0.0
268,55.0,2235.52,169.35,80.0,2004.895,253.983,0.0
269,22.0,516.634,180.823,21.0,1357.23,241.94,0.0
270,67699.0,0.0,6413.73,18.0,0.0,14.45,0.0
271,30.0,4189.87,560.85,86.0,9978.94,674.196,0.0
272,51.0,20263.21,377.907,130.0,72532.286,1007.11,0.0
273,31.0,4833.585,294.459,31.0,3252.995,306.37,0.0
274,23.0,10504.37,135.877,95.0,36102.795,1679.551,0.0
275,10.0,21607.133,79.856,28.0,7101.94,177.408,0.0
276,32.0,14879.91,534.82,43.0,26760.425,656.101,0.0
277,145.0,12937.732,549.412,369.0,8648.142,663.851,0.0
278,90.0,4785.63,1249.16,83.0,1108.308,493.101,0.0
279,16.0,30710.89,267.125,30.0,7721.56,592.543,0.0
280,201.0,0.0,13.53,1.0,0.0,2.59,0.0
281,120.0,3020.08,155.315,125.0,5898.79,3894.155,0.0
282,34.0,649.17,254.21,10.0,0.0,187.415,0.0
283,62.0,0.0,236.26,3.0,39.46,30.84,0.0
284,54.0,0.0,140.837,142.0,0.0,9.901,0.0
285,1420.0,3234.125,435.665,1421.0,1852.73,389.415,0.0
286,126.0,9052.195,1706.643,109.0,840.5,2069.488,0.0
287,16.0,3304.015,275.815,25.0,4001.62,389.565,0.0
288,22.0,4394.84,280.41,19.0,19694.4,241.22,0.0
289,42.0,44083.53,651.135,85.0,7837.241,1232.826,0.0
290,231.0,153631.57,15825.93,93.0,19348.87,695.34,0.0
291,9.0,0.0,7.669,46.0,270.63,96.568,0.0
292,12.0,0.0,23.56,75.0,16488.9,834.72,0.0
293,15.0,2014.22,170.3,28.0,3441.41,210.869,0.0
294,84.0,15972.39,474.82,312.0,13854.66,2299.175,0.0
295,54.0,46085.908,643.555,167.0,10890.005,705.832,0.0
296,106.0,47815.441,1927.721,246.0,72157.435,2398.908,0.0
297,18.0,13792.56,254.355,38.0,6894.05,356.637,0.0
298,7.0,3532.343,250.338,42.0,2062.37,514.69,0.0
299,23.0,3386.212,328.844,27.0,2962.418,281.946,0.0
300,201.0,0.0,21.01,1.0,0.0,3.89,0.0
301,54.0,7132.711,927.61,71.0,8832.615,1002.768,0.0
302,0.0,0.0,0.0,51.0,2985.655,253.222,0.0
303,75.0,32099.17,1441.03,250.0,21945.139,1090.47,0.0
304,1.0,0.0,26.7,40.0,6837.64,432.61,0.0
305,35.0,20372.015,525.55,33.0,20490.8,436.536,0.0
306,58.0,6985.599,222.473,1581.0,10498.84,339.414,0.0
307,31.0,0.0,2.593,61.0,0.0,6.147,0.0
308,94.0,358.8,196.105,557.0,454.33,1742.099,0.0
309,41.0,3360.29,178.61,78.0,86528.68,835.94,0.0
310,18.0,15509.96,237.161,433.0,9835.42,789.403,0.0
311,206.0,0.0,21.54,108.0,0.0,14.336,0.0
312,28.0,1387.791,117.408,28.0,1914.06,233.79,0.0
313,205.0,39878.003,2012.843,165.0,61265.9,859.474,0.0
314,112.0,0.0,70.18,0.0,0.0,0.0,0.0
315,19.0,3073.147,152.181,59.0,5551.865,414.986,0.0
316,65.0,7375.639,775.327,54.0,10772.94,278.005,0.0
317,48.0,12624.208,720.91,54.0,8367.4,540.4,0.0
318,8.0,0.0,4.887,140.0,25104.528,1578.437,0.0
319,315.0,66.96,2460.839,754.0,1713.54,542.111,0.0
320,191.0,0.0,15.11,1.0,0.0,5.34,0.0
321,36.0,3996.545,285.29,73.0,2687.246,350.07,0.0
322,14.0,293.25,105.76,34.0,0.0,138.89,0.0
323,250.0,0.0,15.19,2.0,0.0,5.64,0.0
324,10.0,693.24,88.09,39.0,1126.155,394.322,0.0
325,11.0,9169.153,81.724,30.0,802.19,260.918,0.0
326,42.0,1250.38,802.6,31.0,8959.21,464.913,0.0
327,62.0,5139.59,700.365,127.0,99250.74,607.991,0.0
328,43.0,10886.059,234.372,81.0,3886.465,344.863,0.0
329,6.0,0.0,29.34,61.0,16647.91,1521.3,0.0
330,235.0,0.0,28.56,1.0,0.0,2.17,0.0
331,857.0,18522.608,1944.512,1940.0,10525.69,4645.252,0.0
332,0.0,0.0,0.0,249.0,0.0,3060.53,0.0
333,18.0,12004.305,221.489,60.0,4594.67,548.779,0.0
334,16.0,4213.113,193.872,19.0,3505.285,190.604,0.0
335,284.0,139.28,866.19,12.0,0.0,12.5,0.0
336,22.0,8086.2,300.715,33.0,2770.121,269.092,0.0
337,13.0,4098.44,328.08,36.0,9941.989,558.625,0.0
338,29.0,10375.706,492.839,140.0,5632.095,492.309,0.0
339,11.0,2016.31,182.756,27.0,5833.96,322.289,0.0
340,412.0,0.0,2904.75,412.0,0.0,2904.75,0.0
341,14.0,16630.65,172.65,24.0,9450.74,305.939,0.0
342,28.0,4472.285,535.584,233.0,4076.17,299.391,0.0
343,52.0,3572.424,536.263,97.0,12109.158,485.626,0.0
344,24.0,9735.94,194.616,66.0,16273.669,174.479,0.0
345,11.0,570.39,95.26,45.0,4988.1,399.801,0.0
346,16.0,2167.632,183.057,91.0,8580.161,410.15,0.0
347,10.0,1285.24,87.915,59.0,14913.475,457.914,0.0
348,211.0,0.0,22.0,1.0,0.0,5.31,0.0
349,28.0,35090.83,301.67,42.0,28768.33,319.172,0.0
350,24.0,12754.909,373.514,22.0,6524.27,571.788,0.0
351,18.0,3296.78,155.38,23.0,2825.46,292.69,0.0
352,201.0,0.0,15.79,1.0,0.0,4.06,0.0
353,39.0,10656.77,1157.24,241.0,0.0,5229.84,0.0
354,98.0,59358.94,1159.135,97.0,26192.385,754.23,0.0
355,78.0,0.0,581.635,260.0,17013.71,518.699,0.0
356,11.0,5373.3,124.18,54.0,3627.116,497.438,0.0
357,85.0,13596.06,2444.06,40.0,522.555,761.55,0.0
358,202.0,0.0,17.0,1.0,0.0,5.45,0.0
359,64.0,9722.195,480.254,91.0,17480.41,687.722,0.0
360,87.0,2645.57,201.251,91.0,5618.735,533.309,0.0
361,85.0,3292.65,922.314,7.0,2670.59,111.55,0.0
362,28.0,12165.86,591.775,27.0,3530.33,287.972,0.0
363,77.0,3012.82,535.482,43.0,2546.287,1654.806,0.0
364,136.0,2913.805,1171.293,85.0,20634.735,1086.636,0.0
365,100.0,3568.45,729.885,168.0,24300.306,1825.196,0.0
366,15.0,1827.145,138.955,29.0,4220.255,357.385,0.0
367,115.0,5334.526,164.294,33.0,4865.875,371.721,0.0
368,78.0,26140.72,1365.42,103.0,45702.433,1398.049,0.0
369,152.0,4840.21,1795.07,506.0,1945.77,4606.13,0.0
370,210.0,0.0,25.33,1.0,0.0,4.95,0.0
371,22.0,6074.0,188.982,39.0,12474.81,607.118,0.0
372,35.0,150985.562,444.202,43.0,131537.75,832.165,0.0
373,55.0,75122.88,207.672,121.0,109838.59,1085.045,0.0
374,1090.0,0.0,7752.14,2.0,0.0,13.89,0.0
375,35.0,19115.689,475.536,41.0,6912.68,763.91,0.0
376,15.0,2199.265,152.56,36.0,2606.615,311.274,0.0
377,20.0,4949.31,397.111,33.0,630.101,465.761,0.0
378,194.0,4132.7,1010.098,269.0,115698.118,1355.502,0.0
379,91.0,11663.145,1923.077,123.0,4094.815,1733.578,0.0
380,95.0,22793.69,517.102,107.0,100860.9,560.912,0.0
381,28.0,149.09,294.005,39.0,799.13,482.65,0.0
382,21.0,10729.585,441.765,24.0,11974.495,275.474,0.0
383,48.0,18473.842,440.488,123.0,40139.61,806.554,0.0
384,13.0,10211.95,117.48,43.0,24293.32,496.0,0.0
385,16.0,15048.3,151.27,81.0,9907.15,449.292,0.0
386,120.0,29150.475,1328.798,120.0,46606.33,646.296,0.0
387,16.0,14665.18,287.31,34.0,5206.53,240.64,0.0
388,137.0,2616.96,572.08,3.0,291.56,17.08,0.0
389,29.0,5729.88,185.41,46.0,5399.52,775.717,0.0
390,21.0,1572.07,163.12,74.0,3621.19,423.268,0.0
391,16.0,4506.01,402.235,29.0,5064.76,252.28,0.0
392,54.0,23282.275,523.405,54.0,1.05,297.57,0.0
393,141.0,3431.97,338.565,189.0,12471.584,606.828,0.0
394,24.0,33690.51,242.11,60.0,18718.78,209.596,0.0
395,46.0,5974.335,1121.71,69.0,4205.865,1149.26,0.0
396,35.0,78424.96,695.52,60.0,261011.96,956.98,0.0
397,27.0,11778.13,505.87,35.0,12840.09,271.029,0.0
398,27.0,1633.155,231.12,39.0,16146.425,889.5,0.0
399,54.0,6666.47,668.02,89.0,2908.24,827.613,0.0
400,28.0,25318.18,408.81,31.0,13385.405,303.585,0.0
401,13.0,8158.0,121.87,26.0,3894.18,154.543,0.0
402,211.0,0.0,22.47,1.0,0.0,5.36,0.0
403,45.0,11473.84,580.105,56.0,35098.23,804.449,0.0
404,6734.0,2613322.23,83715.95,31.0,0.0,156.65,0.0
405,28.0,10419.61,463.24,31.0,25141.79,615.421,0.0
406,21.0,3934.786,313.032,28.0,1327.17,228.966,0.0
407,26.0,7216.19,574.575,29.0,18122.92,524.69,0.0
408,4.0,6493.036,81.403,54.0,26656.996,698.076,0.0
409,13.0,8680.85,137.62,40.0,3838.35,194.76,0.0
410,39.0,14054.74,1138.571,28.0,4251.57,609.499,0.0
411,84.0,35835.383,1245.437,76.0,10124.555,731.843,0.0
412,2.0,0.0,16.325,39.0,1920.52,99.852,0.0
413,25.0,3595.31,415.76,78.0,22830.79,551.44,0.0
414,44.0,9473.48,680.73,129.0,3507.575,1041.497,0.0
415,32.0,12231.795,512.66,34.0,23798.07,367.884,0.0
416,107.0,3064.88,632.12,20.0,12179.3,352.291,0.0
417,131.0,28478.86,2588.605,119.0,16314.73,2058.82,0.0
418,219.0,1465.98,1280.65,619.0,619.38,7953.111,0.0
419,21.0,3329.59,438.26,24.0,4639.54,937.25,0.0
420,20.0,15262.08,165.345,41.0,41524.21,424.25,0.0
421,58.0,8935.635,671.458,466.0,12061.409,1004.511,0.0
422,18.0,217.67,547.71,38.0,63136.796,408.964,0.0
423,26.0,71545.86,739.43,30.0,41551.88,621.201,0.0
424,241.0,23739.94,3888.53,118.0,333.217,971.931,0.0
425,43.0,312.58,239.25,47.0,0.0,289.24,0.0
426,250.0,0.0,15.18,2.0,0.0,5.2,0.0
427,40.0,38302.664,1366.283,51.0,11153.89,1643.409,0.0
428,9.0,0.0,26.14,41.0,4229.97,645.09,0.0
429,271.0,0.0,17.57,1.0,0.0,2.34,0.0
430,206.0,0.0,21.78,106.0,0.0,14.002,0.0
431,482.0,11798.36,2686.38,511.0,0.0,1643.46,0.0
432,202.0,0.0,20.74,1.0,0.0,6.87,0.0
433,44.0,0.0,522.46,4.0,0.0,36.857,0.0
434,100.0,2328.563,679.633,140.0,0.0,94.78,0.0
435,1443.0,958.9,512.85,1430.0,400.912,208.5,0.0
